"","lag_ar","lag_ma","lag_arch","lag_garch","AIC","BIC","type_model","type_dist","model_name"
"1",0,0,1,1,NA,NA,"sGARCH","norm","ARMA(0,0)+sGARCH(1,1) norm"
"2",0,0,1,2,-9.42935334094656,-9.40797275803442,"sGARCH","norm","ARMA(0,0)+sGARCH(1,2) norm"
"3",0,0,1,3,-9.42724287317393,-9.40158617367937,"sGARCH","norm","ARMA(0,0)+sGARCH(1,3) norm"
"4",0,0,1,4,-9.4305668058193,-9.40063398974231,"sGARCH","norm","ARMA(0,0)+sGARCH(1,4) norm"
"5",0,0,1,5,-9.4283930104613,-9.39418407780189,"sGARCH","norm","ARMA(0,0)+sGARCH(1,5) norm"
"6",0,0,2,1,-9.4106638610884,-9.38928327817627,"sGARCH","norm","ARMA(0,0)+sGARCH(2,1) norm"
"7",0,0,2,2,-9.4277275618142,-9.40207086231964,"sGARCH","norm","ARMA(0,0)+sGARCH(2,2) norm"
"8",0,0,2,3,-9.42565507511366,-9.39572225903668,"sGARCH","norm","ARMA(0,0)+sGARCH(2,3) norm"
"9",0,0,2,4,-9.42889808307769,-9.39468915041828,"sGARCH","norm","ARMA(0,0)+sGARCH(2,4) norm"
"10",0,0,2,5,-9.42671261291609,-9.38822756367425,"sGARCH","norm","ARMA(0,0)+sGARCH(2,5) norm"
"11",0,0,3,1,-9.40863376970416,-9.3829770702096,"sGARCH","norm","ARMA(0,0)+sGARCH(3,1) norm"
"12",0,0,3,2,-9.4255394607582,-9.39560664468122,"sGARCH","norm","ARMA(0,0)+sGARCH(3,2) norm"
"13",0,0,3,3,-9.42393280670164,-9.38972387404223,"sGARCH","norm","ARMA(0,0)+sGARCH(3,3) norm"
"14",0,0,3,4,-9.42722244784668,-9.38873739860485,"sGARCH","norm","ARMA(0,0)+sGARCH(3,4) norm"
"15",0,0,3,5,-9.42501172860124,-9.38225056277698,"sGARCH","norm","ARMA(0,0)+sGARCH(3,5) norm"
"16",0,0,4,1,-9.40648276490039,-9.3765499488234,"sGARCH","norm","ARMA(0,0)+sGARCH(4,1) norm"
"17",0,0,4,2,-9.42339420709838,-9.38918527443897,"sGARCH","norm","ARMA(0,0)+sGARCH(4,2) norm"
"18",0,0,4,3,-9.42183500361263,-9.38334995437079,"sGARCH","norm","ARMA(0,0)+sGARCH(4,3) norm"
"19",0,0,4,4,-9.42561313551318,-9.38285196968892,"sGARCH","norm","ARMA(0,0)+sGARCH(4,4) norm"
